Price,Area,Bedrooms,Bathrooms,Location,Builder,Status
37.13 L,599 ,1 ,1 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
67 L,1058 ,2 ,2 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
1.25 Cr,1691 ,3 ,3 Bathrooms,Sholinganallur,Appaswamy Greensville,Ready to move
32.42 L,495 ,1 ,1 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
79.99 L,1133 ,3 ,2 Bathrooms,Sholinganallur,nan,Ready to move
77 L,1284 ,3 ,3 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
86.11 L,1740 ,3 ,nan,Sholinganallur,Casa Grand Royale,Ready to move
72.29 L,1242 ,2 ,2 Bathrooms,Sholinganallur,Prestige Courtyards,Under Construction
62 L,1245 ,2 ,2 Bathrooms,Sholinganallur,Casa Grand Royale,Under Construction
94.99 L,1455 ,3 ,2 Bathrooms,Sholinganallur,Adroit Fortune,Under Construction
1.09 Cr,1588 ,3 ,3 Bathrooms,Sholinganallur,nan,Ready to move
97.5 L,2322 ,4 ,4 Bathrooms,Sholinganallur,nan,Under Construction
44.95 L,685 ,2 ,2 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
82 L,1100 ,3 ,3 Bathrooms,Sholinganallur,nan,Under Construction
65.53 L,916 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
69.45 L,1076 ,3 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
41.62 L,925 ,2 ,2 Bathrooms,Sholinganallur,nan,Ready to move
1.08 Cr,2154 ,4 ,4 Bathrooms,Sholinganallur,KG Chandra Vista,Ready to move
65.63 L,1076 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
55 L,1029 ,2 ,2 Bathrooms,Sholinganallur,nan,Under Construction
82 L,1671 ,3 ,3 Bathrooms,Sholinganallur,nan,Ready to move
75.09 L,1341 ,2 ,2 Bathrooms,Sholinganallur,Bhaggyam Srishti,Ready to move
1.5 Cr,1560 ,3 ,3 Bathrooms,Sholinganallur,Baashyaam Pinnacle Crest,Ready to move
96 L,1590 ,3 ,3 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
12.85 L,444 ,1 ,1 Bathrooms,Sholinganallur,nan,Ready to move
65.46 L,1247 ,2 ,2 Bathrooms,Sholinganallur,Adroit Fortune,Under Construction
1.07 Cr,1592 ,3 ,3 Bathrooms,Sholinganallur,Prestige Courtyards,Ready to move
47 L,690 ,2 ,2 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
55 L,630 ,1 ,1 Bathrooms,Sholinganallur,Ceebros Belvedere,Ready to move
80.34 L,1346 ,2 ,2 Bathrooms,Sholinganallur,Radiance Sapphire,Ready to move
56 L,1258 ,2 ,2 Bathrooms,Sholinganallur,Lancor The Central Park Lake Front,Ready to move
98.19 L,1710 ,3 ,3 Bathrooms,Sholinganallur,Casa Grand Royale,Under Construction
58 L,915 ,2 ,2 Bathrooms,Sholinganallur,Harini Gokulam,Ready to move
86.11 L,1740 ,3 ,3 Bathrooms,Sholinganallur,Casa Grand Royale,Under Construction
90 L,1919 ,3 ,3 Bathrooms,Sholinganallur,nan,Ready to move
47 L,931 ,2 ,2 Bathrooms,Sholinganallur,nan,Ready to move
58 L,1150 ,2 ,2 Bathrooms,Sholinganallur,nan,Ready to move
1.35 Cr,1590 ,3 ,3 Bathrooms,Sholinganallur,Baashyaam Pinnacle Crest,Ready to move
85 L,1350 ,3 ,3 Bathrooms,Sholinganallur,Sreenivas Sai Garden,Under Construction
83 L,1489 ,3 ,3 Bathrooms,Sholinganallur,Radiance Sapphire,Under Construction
92 L,1568 ,3 ,2 Bathrooms,Sholinganallur,Bhaggyam Srishti,Under Construction
96.01 L,1580 ,3 ,2 Bathrooms,Sholinganallur,DRA D Elite,Under Construction
61.35 L,968 ,2 ,nan,Sholinganallur,Lancor TCP Altura,Under Construction
91.75 L,1237 ,2 ,2 Bathrooms,Sholinganallur,nan,Ready to move
77 L,1284 ,2 ,nan,Sholinganallur,DRA D Elite,Under Construction
82 L,1100 ,3 ,3 Bathrooms,Sholinganallur,Arun Excello Sharada,Under Construction
75.81 L,1532 ,3 ,nan,Sholinganallur,Casa Grand Royale,Ready to move
