Price,Area,Bedrooms,Bathrooms,Location,Builder,Status 
66 L,1197 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
62 L,1250 ,2 ,2 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
38 L,700 ,2 ,2 Bathrooms,Pallikaranai,Sri Lakshimi Pallikaranai Flats,Ready to move
62 L,1042 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
1.3 Cr,2712 ,4 ,4 Bathrooms,Pallikaranai,Puravankara Windermere,Under Construction
39.66 L,615 ,1 ,1 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
1.25 Cr,1943 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
75.25 L,1243 ,2 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
30 L,500 ,1 ,1 Bathrooms,Pallikaranai,Brownstone Pallikarani,Ready to move
50 L,800 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
71.54 L,1154 ,3 ,3 Bathrooms,Pallikaranai,nan,Under Construction
55 L,901 ,2 ,2 Bathrooms,Pallikaranai,Rajkham Akash Ganga,Ready to move
18 L,840 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
1.02 Cr,1944 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
51.62 L,885 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
35 L,620 ,1 ,1 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
64.9 L,1200 ,3 ,3 Bathrooms,Pallikaranai,Alankar Construction Devi Karumariamman Nagar,Ready to move
1.63 Cr,2691 ,4 ,4 Bathrooms,Pallikaranai,nan,Ready to move
1.64 Cr,2712 ,4 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
1.64 Cr,2712 ,4 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
1.11 Cr,1520 ,3 ,3 Bathrooms,Pallikaranai,nan,Under Construction
73.65 L,1030 ,2 ,nan,Pallikaranai,Meera Meeras Floral,Under Construction
54 L,1047 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
1.64 Cr,2712 ,4 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
51 L,1025 ,2 ,2 Bathrooms,Pallikaranai,Shaja Abode,Under Construction
55 L,925 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
53.18 L,925 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
61.5 L,933 ,2 ,1 Bathrooms,Pallikaranai,nan,Under Construction
95.55 L,1470 ,3 ,3 Bathrooms,Pallikaranai,Reputed Builder Sastha Enclave,Ready to move
1 Cr,1944 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Windermere,Under Construction
57 L,866 ,2 ,2 Bathrooms,Pallikaranai,Jain Jains Anarghya,Under Construction
46 L,615 ,1 ,1 Bathrooms,Pallikaranai,Puravankara Windermere,Ready to move
40 L,620 ,1 ,1 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
65.75 L,1243 ,1 ,2 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
1.25 Cr,1943 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
38 L,900 ,2 ,2 Bathrooms,Pallikaranai,Reputed Builder Blossoms,Ready to move
1.02 Cr,1943 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
64.56 L,894 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
42 L,1000 ,2 ,2 Bathrooms,Pallikaranai,Rajkham Akash Ganga,Ready to move
40 L,720 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
57.22 L,923 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
59.89 L,966 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
54.62 L,884 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
1.63 Cr,2691 ,4 ,4 Bathrooms,Pallikaranai,Puravankara Windermere,Ready to move
91.32 L,1370 ,3 ,nan,Pallikaranai,Meera Meeras Kavya,Ready to move
1.2 Cr,1932 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
1.36 Cr,2712 ,4 ,4 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
54.54 L,1000 ,2 ,2 Bathrooms,Pallikaranai,Alankar Construction Devi Karumariamman Nagar,Ready to move
1.17 Cr,1944 ,3 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
92.72 L,1369 ,3 ,3 Bathrooms,Pallikaranai,nan,Ready to move
71 L,1407 ,3 ,3 Bathrooms,Pallikaranai,nan,Ready to move
94 L,2162 ,3 ,3 Bathrooms,Pallikaranai,nan,Ready to move
1.17 Cr,1944 ,3 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
55.9 L,1025 ,2 ,2 Bathrooms,Pallikaranai,Shaja Abode,Under Construction
54 L,871 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
84.13 L,1370 ,3 ,3 Bathrooms,Pallikaranai,nan,Under Construction
55.44 L,880 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
94.9 L,1460 ,3 ,3 Bathrooms,Pallikaranai,Reputed Builder Sastha Enclave,Ready to move
75 L,1255 ,2 ,2 Bathrooms,Pallikaranai,Puravankara Windermere,Under Construction
1.5 Cr,2140 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Windermere,Ready to move
1.02 Cr,1929 ,3 ,3 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
65.74 L,937 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
53 L,953 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
42.95 L,781 ,2 ,2 Bathrooms,Pallikaranai,nan,Under Construction
74 L,1194 ,3 ,2 Bathrooms,Pallikaranai,nan,Under Construction
51.65 L,832 ,2 ,2 Bathrooms,Pallikaranai,nan,Ready to move
35 L,600 ,1 ,1 Bathrooms,Pallikaranai,Puravankara Purva Windermere,Ready to move
1.17 Cr,1944 ,3 ,nan,Pallikaranai,Puravankara Windermere,Ready to move
91.15 L,1302 ,3 ,nan,Pallikaranai,Meera Meeras Floral,Under Construction
83 L,1346 ,3 ,3 Bathrooms,Pallikaranai,Appaswamy Mapleton,Ready to move
15.99 L,595 ,1 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Ready to move
57 L,1440 ,2 ,2 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
24.7 L,595 ,1 ,1 Bathrooms,Maraimalai Nagar,nan,Under Construction
47.47 L,1079 ,2 ,2 Bathrooms,Maraimalai Nagar,Mahindra World City,Under Construction
55 L,1066 ,2 ,2 Bathrooms,Maraimalai Nagar,nan,Ready to move
18.63 L,534 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
38 L,738 ,2 ,2 Bathrooms,Maraimalai Nagar,nan,Under Construction
22.7 L,595 ,1 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Under Construction
16 L,400 ,2 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Under Construction
17 L,800 ,2 ,2 Bathrooms,Maraimalai Nagar,Mahindra World City,Under Construction
54.9 L,1680 ,3 ,nan,Maraimalai Nagar,Hallmark Golden County,Ready to move
79 L,1947 ,3 ,4 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
25 L,595 ,1 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Ready to move
29.99 L,559 ,1 ,1 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
26 L,595 ,1 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Under Construction
16 L,375 ,1 ,1 Bathrooms,Maraimalai Nagar,nan,Under Construction
21.14 L,606 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
27 L,782 ,2 ,2 Bathrooms,Maraimalai Nagar,Mahindra World City,Ready to move
58 L,1957 ,3 ,3 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
15.24 L,385 ,1 ,1 Bathrooms,Maraimalai Nagar,Arun Excello Urmika,Under Construction
38.99 L,738 ,1 ,1 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
82 L,1957 ,3 ,2 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
14.34 L,411 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
13.22 L,379 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
22.43 L,643 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
38 L,776 ,2 ,2 Bathrooms,Maraimalai Nagar,Besh SP Koil,Ready to move
29 L,790 ,2 ,2 Bathrooms,Maraimalai Nagar,nan,Ready to move
17 L,500 ,1 ,1 Bathrooms,Maraimalai Nagar,nan,Ready to move
17 L,500 ,1 ,1 Bathrooms,Maraimalai Nagar,nan,Ready to move
85 L,1957 ,3 ,3 Bathrooms,Maraimalai Nagar,Akshaya Metropolis,Ready to move
18.98 L,544 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
11.93 L,342 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
18.56 L,532 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
16.36 L,469 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
21.67 L,621 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
13.5 L,387 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
21.84 L,626 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
22.93 L,657 ,2 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
14.48 L,415 ,1 ,nan,Maraimalai Nagar,Arun Excello Urmika,Under Construction
65 L,1184 ,3 ,2 Bathrooms,Singaperumal Koil,Aakam Courtyard Hygrevar,Ready to move
30 L,624 ,1 ,1 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Ready to move
63.61 L,1395 ,3 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
55 L,1079 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Ready to move
57 L,1079 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Ready to move
71.02 L,1605 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
65 L,1650 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Ready to move
1 Cr,2286 ,4 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Under Construction
21.42 L,612 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
53 L,1079 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Under Construction
42.63 L,1220 ,2 ,2 Bathrooms,Singaperumal Koil,XS Real Skycity,Under Construction
44.24 L,1079 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Ready to move
71.02 L,1605 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
71.02 L,1605 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
1.05 Cr,2286 ,4 ,4 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Under Construction
34 L,960 ,2 ,2 Bathrooms,Singaperumal Koil,Aakam Hygrevar Enclave,Ready to move
72.6 L,1478 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Under Construction
20 L,625 ,1 ,nan,Singaperumal Koil,Natwest Vivas,Ready to move
94.3 L,2317 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
94.3 L,2317 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
1 Cr,2286 ,4 ,4 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Under Construction
71.5 L,1605 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Under Construction
66.89 L,1467 ,3 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
94.3 L,2317 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
83 L,1947 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Under Construction
35 L,930 ,2 ,2 Bathrooms,Singaperumal Koil,Aakam Hygrevar Enclave,Ready to move
34.63 L,606 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion Phase 3,Ready to move
53.13 L,1079 ,2 ,3 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Under Construction
21.12 L,660 ,1 ,nan,Singaperumal Koil,Natwest Vivas,Ready to move
36.82 L,1052 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
72 L,1595 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Under Construction
71.02 L,1605 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
80.71 L,1971 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
75 L,1595 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Under Construction
80.71 L,1971 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
38 L,967 ,2 ,2 Bathrooms,Singaperumal Koil,Aakam Hygrevar Aura,Ready to move
75 L,1595 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Under Construction
49.45 L,886 ,3 ,nan,Singaperumal Koil,DRA Pristine Pavilion Phase 3,Ready to move
34.72 L,1085 ,3 ,nan,Singaperumal Koil,Natwest Vivas,Ready to move
36.82 L,1052 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
80.71 L,1971 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
20.61 L,589 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
1.04 Cr,2562 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
1.04 Cr,2562 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
34.51 L,603 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion Phase 3,Ready to move
39.2 L,1225 ,3 ,nan,Singaperumal Koil,Natwest Vivas,Ready to move
28.02 L,612 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
21.07 L,602 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
39 L,1070 ,2 ,2 Bathrooms,Singaperumal Koil,nan,Ready to move
63.45 L,1813 ,3 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
60.61 L,1478 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Ready to move
69 L,1605 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Aqualily ,Ready to move
90.67 L,2228 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
44.24 L,1079 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Under Construction
90.67 L,2228 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
55 L,1550 ,3 ,3 Bathrooms,Singaperumal Koil,nan,Ready to move
21.17 L,605 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
26 L,595 ,2 ,1 Bathrooms,Singaperumal Koil,Mahindra Nova,Ready to move
25 L,938 ,2 ,2 Bathrooms,Singaperumal Koil,Aakam Little Flower,Ready to move
34.21 L,597 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion Phase 3,Ready to move
28.64 L,895 ,2 ,nan,Singaperumal Koil,Natwest Vivas,Ready to move
24 L,595 ,1 ,1 Bathrooms,Singaperumal Koil,Mahindra Nova,Ready to move
24 L,503 ,2 ,2 Bathrooms,Singaperumal Koil,Nebula Chennai Aavas,Ready to move
60.61 L,1478 ,3 ,3 Bathrooms,Singaperumal Koil,Mahindra Lakewoods,Under Construction
5 L,600 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Aqualily,Under Construction
63.88 L,1401 ,3 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
94.3 L,2317 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
63.45 L,1813 ,3 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
26.97 L,589 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
42 L,906 ,2 ,2 Bathrooms,Singaperumal Koil,DRA Pristine Pavilion 2,Ready to move
24 L,595 ,1 ,1 Bathrooms,Singaperumal Koil,Mahindra Nova,Ready to move
40 L,836 ,2 ,2 Bathrooms,Singaperumal Koil,Mahindra Nova,Ready to move
1.04 Cr,2562 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
37.03 L,1058 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
80.71 L,1971 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
32.24 L,836 ,2 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
65.66 L,1440 ,3 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
37.03 L,1058 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
27.57 L,602 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
84 L,1813 ,3 ,3 Bathrooms,Singaperumal Koil,DRA Pristine Pavilion 2,Ready to move
90.67 L,2228 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
38.6 L,1103 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
1.04 Cr,2562 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
45 L,986 ,2 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
38.6 L,1103 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
27.7 L,605 ,1 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
70.57 L,1595 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
70.57 L,1595 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
38.43 L,1098 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
70.57 L,1595 ,3 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
90.67 L,2228 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
64.34 L,1411 ,3 ,nan,Singaperumal Koil,Mahindra Iris Court,Ready to move
38.43 L,1098 ,2 ,nan,Singaperumal Koil,DRA Pristine Pavilion,Ready to move
38.28 L,836 ,2 ,nan,Singaperumal Koil,Mahindra Nova,Ready to move
24 L,595 ,1 ,1 Bathrooms,Singaperumal Koil,Mahindra Nova,Ready to move
93.04 L,2286 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
93.04 L,2286 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
48.46 L,847 ,3 ,nan,Singaperumal Koil,DRA Pristine Pavilion Phase 3,Ready to move
35.04 L,1095 ,2 ,2 Bathrooms,Singaperumal Koil,Natwest Vivas,Ready to move
93.04 L,2286 ,4 ,nan,Singaperumal Koil,Mahindra Aqualily ,Ready to move
60.15 L,1176 ,2 ,nan,Padur,Jain Inseli Park,Ready to move
89.76 L,1755 ,3 ,nan,Padur,Jain Inseli Park,Ready to move
60.15 L,1176 ,2 ,nan,Padur,Jain Inseli Park,Ready to move
50 L,870 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Ready to move
48.18 L,918 ,3 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
73 L,1481 ,3 ,3 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
46.6 L,778 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
40.83 L,778 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
55.23 L,1152 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
48.18 L,918 ,3 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
31 L,800 ,1 ,1 Bathrooms,Padur,ETA Rosedale,Ready to move
48.8 L,918 ,3 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Ready to move
42.59 L,1001 ,2 ,nan,Padur,Godrej Azure Phase 2,Under Construction
38 L,990 ,2 ,2 Bathrooms,Padur,Akshaya Adena,Ready to move
75 L,1200 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Under Construction
6.74 Cr,6607 ,4 ,4 Bathrooms,Padur,Akshaya Abov,Under Construction
55.23 L,1152 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
58 L,1152 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Under Construction
34 L,875 ,2 ,2 Bathrooms,Padur,XS Real Amity,Ready to move
43.03 L,1001 ,2 ,nan,Padur,Godrej Azure Phase 2,Under Construction
72 L,1441 ,3 ,3 Bathrooms,Padur,nan,Ready to move
65 L,1441 ,3 ,3 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
33.15 L,663 ,2 ,1 Bathrooms,Padur,Urbanrise Manhattan Condos,Ready to move
48.18 L,918 ,3 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
40.83 L,778 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
37 L,950 ,2 ,2 Bathrooms,Padur,Akshaya Adena,Ready to move
50 L,1300 ,3 ,3 Bathrooms,Padur,Akshaya Adena,Ready to move
80 L,1450 ,3 ,3 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
46 L,1077 ,1 ,2 Bathrooms,Padur,Jain Inseli Park,Ready to move
40 L,500 ,1 ,nan,Padur,Urbanrise Manhattan Condos,Under Construction
48 L,918 ,3 ,1 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
66 L,1685 ,3 ,3 Bathrooms,Padur,nan,Ready to move
67.38 L,1685 ,3 ,3 Bathrooms,Padur,LML Lakescape,Ready to move
47 L,888 ,2 ,1 Bathrooms,Padur,Isha Padur Plots,Under Construction
57 L,1547 ,2 ,2 Bathrooms,Padur,ETA Rosedale,Ready to move
59.24 L,1468 ,3 ,1 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
55 L,1020 ,1 ,2 Bathrooms,Padur,Godrej Azure,Ready to move
45.9 L,918 ,3 ,2 Bathrooms,Padur,Urbanrise Manhattan Condos,Ready to move
53.2 L,888 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
40.84 L,663 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
34.8 L,663 ,2 ,1 Bathrooms,Padur,Urbanrise Manhattan Condos,Under Construction
53.2 L,888 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
43.78 L,1029 ,2 ,nan,Padur,Godrej Azure Phase 2,Under Construction
76.41 L,1494 ,3 ,nan,Padur,Jain Inseli Park,Ready to move
65 L,1653 ,2 ,2 Bathrooms,Padur,ETA Rosedale,Ready to move
48.49 L,1149 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
55 L,1147 ,2 ,1 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
63 L,1051 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Under Construction
46.61 L,888 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
48 L,1072 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
49 L,1150 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
44.9 L,750 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
30 L,800 ,1 ,1 Bathrooms,Padur,ETA Rosedale,Ready to move
92 L,1452 ,3 ,3 Bathrooms,Padur,Godrej Azure Phase 2,Under Construction
79 L,1469 ,3 ,3 Bathrooms,Padur,Pacifica Pride Towers,Under Construction
52 L,1147 ,2 ,2 Bathrooms,Padur,nan,Ready to move
1.44 Cr,1800 ,3 ,nan,Padur,Urbanrise Manhattan Condos,Under Construction
34 L,663 ,2 ,1 Bathrooms,Padur,Urbanrise Code Name Independence Day,Ready to move
67.38 L,1685 ,3 ,3 Bathrooms,Padur,LML Lakescape,Ready to move
27 L,525 ,1 ,1 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
42 L,1257 ,2 ,2 Bathrooms,Padur,ETA Rosedale,Ready to move
55.23 L,1152 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
79.95 L,1981 ,3 ,1 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
48.19 L,918 ,3 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
42.59 L,1001 ,2 ,nan,Padur,Godrej Azure Phase 2,Under Construction
69.7 L,1451 ,3 ,3 Bathrooms,Padur,Godrej Azure Phase 3,Under Construction
43.5 L,747 ,2 ,2 Bathrooms,Padur,nan,Under Construction
34 L,681 ,2 ,1 Bathrooms,Padur,Urbanrise Manhattan Condos,Ready to move
46.6 L,778 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
46.6 L,778 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
48.18 L,918 ,3 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
89.76 L,1755 ,3 ,nan,Padur,Jain Inseli Park,Ready to move
24.5 L,510 ,1 ,1 Bathrooms,Padur,Urbanrise Code Name Independence Day,Ready to move
63 L,1049 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Under Construction
34.8 L,663 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
65 L,1870 ,3 ,2 Bathrooms,Padur,Mantri Synergy,Ready to move
78 L,1455 ,3 ,nan,Padur,Godrej Azure Phase 2,Under Construction
68 L,1358 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Under Construction
51 L,1026 ,2 ,2 Bathrooms,Padur,Godrej Azure Phase 2,Under Construction
80 L,1000 ,2 ,nan,Padur,Urbanrise Manhattan Condos,Under Construction
48.18 L,918 ,3 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
40 L,1199 ,2 ,2 Bathrooms,Padur,ETA Rosedale,Ready to move
54.76 L,1357 ,2 ,1 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
55 L,1176 ,2 ,2 Bathrooms,Padur,Jain Inseli Park,Ready to move
99 L,1361 ,2 ,1 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
46.61 L,888 ,2 ,2 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
66.6 L,1710 ,2 ,2 Bathrooms,Padur,Jain Inseli Park,Ready to move
55 L,1147 ,2 ,1 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
38.9 L,778 ,2 ,2 Bathrooms,Padur,Urbanrise Manhattan Condos,Ready to move
40.84 L,663 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
53.2 L,888 ,2 ,nan,Padur,Urbanrise Code Name Independence Day,Under Construction
76.41 L,1494 ,3 ,nan,Padur,Jain Inseli Park,Ready to move
63 L,1047 ,2 ,2 Bathrooms,Padur,Pacifica Happiness Towers,Under Construction
19.83 L,361 ,1 ,1 Bathrooms,Padur,Urbanrise Code Name Independence Day,Under Construction
57 L,1547 ,2 ,2 Bathrooms,Padur,ETA Rosedale,Ready to move
67.38 L,1685 ,3 ,3 Bathrooms,Padur,LML Lakescape,Ready to move
65.06 L,1357 ,2 ,2 Bathrooms,Padur,Pacifica Pride Towers,Ready to move
52.26 L,1295 ,2 ,1 Bathrooms,Padur,Pacifica Happiness Towers,Ready to move
